Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1070,Silver Mirror 4mm Safety backed 2440 x 1070,Silver Mirror 4mm 2440 x 1070,32.64,0.00,4.00,FALSE
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.00,4.00,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.00,4.00,FALSE
SLD_TRR_RAU_10.01.018,Top Roller S751,Top Roller S751,2.20,0.00,6.00,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.00,3.00,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.00,6.00,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.00,6.00,FALSE
SLD_SDR_RAU_10.07.008,Screw Dividing Rail,Screw Dividing Rail,0.16,0.00,18.00,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.00,12.00,FALSE
SLD_DEB_RAU_10.07.020,Dust Excluding Brush - Grey,Dust Excluding Brush - Grey,0.74,0.00,13.00,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.00,18.00,FALSE
SLD_CRS_RAU_13.33.020,Cross Strips (Dividing Rail Glued) - Silver,Cross Strips (Dividing Rail Glued) - Silver,7.19,0.00,2.00,FALSE
SLD_BRS_RAU_15.04.020,Bottom rail - Silver,Bottom rail - Silver,25.48,0.00,1.00,FALSE
SLD_BTSI_RAU_15.05.020,Bottom Track Double Surface Silver,Bottom Track Double Surface Silver,15.77,0.00,1.00,FALSE
SLD_ANSI_RAU_15.11.022,S751 - Anodised Silver,S751 - Anodised Silver,21.48,0.00,3.00,FALSE
SLD_TRSI_RAU_15.12.020,Top Rail - Silver,Top Rail - Silver,13.31,0.00,1.00,FALSE
SLD_TTSI_RAU_15.25.020,Top Track Double S34 40mm Silver,"Top Track Double S34, 40mm Silver",30.98,0.00,1.00,FALSE
SLD_DST_RAU_25.12.046,Double Sided Tape,Double Sided Tape,0.21,0.00,2.00,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.50,0.00,8.00,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.00,8.00,FALSE
HRL_PDR_HAF_805.20.081,Pull Down Hanging Rail (600-1000mm - Hafele),Auto-created from CSV upload,0.00,0.00,1.00,FALSE
BSK_400_HAF_805.92.208,Wire PO Basket 400mm Chrome,Auto-created from CSV upload,0.00,0.00,1.00,FALSE
HAN_BAS_FFF_FPBAS320IL,Base Handle Inox look 320cc,Furnipart Base Handle Inox look 320cc L332,9.25,0.00,2.00,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.11,0.00,3.00,FALSE
LGT_RCH_TLW_C01-2045ANNW-450,PIR Bar Light - Nat. White - Aluminium - 450mm,PIR Bar Light - Nat. White - Aluminium - 450mm,15.68,0.00,3.00,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.00,6.00,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.30,0.00,6.00,FALSE
