Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
9156338,Slideline M Fittings Set with Soft Close,2.0,MISSING,0,,
9209225,1 x Tracks Inc fixings 2.5m Lay on,2.0,MISSING,0,,
9209278,Silver Tape Edge 4.0m,2.0,MISSING,0,,
CBL_OUT_HAF_429.99.379,Cable Outlet - 98 x 242mm - Black,Auto-created from CSV upload,0.00,0,1,FALSE
LGT_REC_TLW_K01-1037-2M,Smart Recessed Lighting Profile - Aluminium - Warm,Auto-created from CSV upload,0.00,0,1,FALSE
LED_PIR_TLW_N28-0003BK,LED PIR Sensor Switch,LED PIR Sensor Switch,MISSING,0,1,FALSE
FOR_WAY_TLW_R90-0133,Micro 4way Connector Block,Auto-created from CSV upload,0.00,0,1,FALSE
ACO_PAN_HWD_HALOAK,Halesworth Oak Acoustic Panelling,Howdens 2.4m x 608mm Halesworth Oak MDF Acoustic Slatted Wall Panelling,51.43,0,3.0,FALSE
LGT_DRV_TLW_K10-1250-PLUG3A,12V LED Driver - 50W c/w micro connector & 3A Plug,12V LED Driver - 50W c/w micro connector & 3A Plug,17.52,0,2.0,FALSE
