Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate,0.37,0.00,1.00,FALSE
HAN_PUL_HAF_101.21.000,Barchester 240mm Pull Antique Bronze,Barchester 240mm Pull Handle knurled Antique Bronze,2.45,0.00,4.00,FALSE
HAN_PUL_HAF_101.21.002,Barchester 400mm Pull Antique Bronze,Barchester 400mm Pull Handle knurled Antique Bronze,3.60,0.00,5.00,FALSE
DRW_SET_HAF_516.23.302,Matrix Drawer - 350mmD x 135mmH Black,"Matrix Box S Slim Drawer Set, 35 kg, 135 mm High, Soft and Smooth Closing",12.50,0.00,5.00,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate,0.37,0.00,1.00,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.50,0.00,8.00,FALSE
