Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
DOR_VNL_OSD_MTM,OS Doors - Vinyl Doors - Made to Measure,OS Doors - Vinyl Doors - Made to Measure,0,0,1,FALSE
GLS_MIR_CAR_GREY_1220,Grey Mirror 4mm 2440 X 1220,Grey Mirror 4mm 2440 X 1220,66.45,0.0,14.0,FALSE
GLS_MIR_FSG_GREY,Grey Mirror 4mm,Grey Mirror 4mm Safety Backed specify sizes from 3210 x 2550,368.35,0.0,14.0,FALSE
GLS_MIR_FSG_GREY_1070,Grey Mirror 4mm Safety Backed 2550 x 1070,Grey Mirror 4mm Safety Backed 2550 x 1070,122.78,0.0,14.0,FALSE
9075081,Cross mounting plate with premounted Euro screws,8.0,MISSING
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.5,0.0,8.0,FALSE
K01-1037ALOP9WW,Smart Recessed Lighting Profile - Aluminium - Warm,10.0,MISSING
N28-0166SBK,LED PIR Sensor Switch,2.0,MISSING
R90-0133,Micro 4way Connector Block,2.0,MISSING
LGT_DRV_TLW_K10-1250-PLUG3A,12V LED Driver - 50W c/w micro connector & 3A Plug,12V LED Driver - 50W c/w micro connector & 3A Plug,17.52,0.0,2.0,FALSE
