Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.00,24.00,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.50,0.00,1.00,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.50,0.00,26.00,FALSE
3H_71_BRASS,3 Rod Heavy Duty Hairpin Leg - 71cm - Brass,4.0,0.00,0.00,0.00,FALSE
805.75.292,Pull-Out Pivoting Mirror 1153mm,1.0,0.00,0.00,0.00,FALSE
HAN_BAR_HAF_101.21.023,Harlington T-BAR Satin Brass,Harlington T-BAR Knob 80mm knurled Satin Brass,2.50,0.00,2.00,FALSE
HAN_PUL_HAF_101.21.015,Harlington 400mm Pull Satin Brass,Harlington 400mm Pull Handle knurled Satin Brass,7.00,0.00,4.00,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.11,0.00,4.00,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.00,14.00,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.30,0.00,14.00,FALSE
