Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.50,0.00,4.00,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.00,4.00,FALSE
K01-1037ALOP9WW,Smart Recessed Lighting Profile - Aluminium - Warm,2.0,0.00,0.00,0.00,TRUE
N28-0006,Hidden Dimmer Touch Sensor Switch,1.0,0.00,0.00,0.00,TRUE
N28-0166SBK,LED PIR Sensor Switch,1.0,0.00,0.00,0.00,TRUE
LGT_DRV_TLW_K10-1230-PLUG3A,12V LED Driver - 30W c/w micro connector & 3A Plug,12V LED Driver - 30W c/w micro connector & 3A Plug,13.58,0.00,2.00,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.00,6.00,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.30,0.00,6.00,FALSE
