BARCODE,MATNAME,CLENG,CWIDTH,CNT,GRAIN,CUSTOMER,ORDERNAME,ARTICLENAME,PARTDESC,PRFID1,PRFID3,PRFID4,PRFID2
Board,SHT_MFC_EGG_U899ST9_18_,2800.00,100.00,1.00,N,BFS-NR-413822,21528,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U899ST9_18_,2800.00,118.00,1.00,N,BFS-NR-413822,21528,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U899ST9_18_,2800.00,65.00,2.00,N,BFS-NR-413822,21528,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U899ST9_18_,2800.00,1000.00,1.00,N,BFS-NR-413822,21528,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U732ST9_18_,2800.00,1000.00,2.00,N,BFS-NR-413822,21528,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U732ST9_18_,2700.00,265.00,1.00,N,BFS-NR-413822,413822,,,Sliderobe_Edge_08,Sliderobe_Edge_08,,
