BARCODE,MATNAME,CLENG,CWIDTH,CNT,GRAIN,CUSTOMER,ORDERNAME,ARTICLENAME,PARTDESC,PRFID1,PRFID3,PRFID4,PRFID2
Board,SHT_MFC_EGG_U702ST9_18_,2800,250,3,N,BFS-NR-412184,21464,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,500,15,N,BFS-NR-412184,21464,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,680,3,N,BFS-NR-412184,21464,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,65,2,N,BFS-NR-412184,21464,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,1000,1,N,BFS-NR-412184,21464,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Drawer Front,SHT_MFC_EGG_U702ST9_18_,694.0,120.0,1.0,N,BFS-NR-412184,21464,MNICHE_2,Drawer Front,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08
Board,SHT_MFC_EGG_H1145ST10_18_,2800,500,2,Y,BFS-NR-412184,21464,,Board,Sliderobe_Edge_08,,,
