BARCODE,MATNAME,CLENG,CWIDTH,CNT,GRAIN,CUSTOMER,ORDERNAME,ARTICLENAME,PARTDESC,PRFID1,PRFID3,PRFID4,PRFID2
Board,SHT_MFC_EGG_U702ST9_18_,2800,250,3,N,BFS-NR-414314,21765,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,680,1,N,BFS-NR-414314,21765,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,1000,3,N,BFS-NR-414314,21765,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,1000,2,N,BFS-NR-414314,21765,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Cover Material,SHT_MFC_EGG_U702ST9_18_,1085.0,517.0,1.0,N,BFS-NR-414314,21765,COVMAT,Cover Material,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08
Cover Material,SHT_MFC_EGG_U702ST9_18_,517.0,470.0,2.0,N,BFS-NR-414314,21765,COVMAT,Cover Material,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08
Cover Material,SHT_MFC_EGG_U702ST9_18_,1085.0,280.0,1.0,N,BFS-NR-414314,21765,COVMAT,Cover Material,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08
