BARCODE,MATNAME,CLENG,CWIDTH,CNT,GRAIN,CUSTOMER,ORDERNAME,ARTICLENAME,PARTDESC,PRFID1,PRFID3,PRFID4,PRFID2
Board,SHT_MFC_EGG_U702ST9_18_,2800,250,13,N,BFS-NR-413274,21659,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,500,14,N,BFS-NR-413274,21659,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,1000,10,N,BFS-NR-413274,21659,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Drawer Front,SHT_MFC_EGG_U702ST9_18_,594.0,210.0,4.0,N,BFS-NR-413274,21659,USHAPE_17,Drawer Front,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08
