BARCODE,MATNAME,CLENG,CWIDTH,CNT,GRAIN,CUSTOMER,ORDERNAME,ARTICLENAME,PARTDESC,PRFID1,PRFID3,PRFID4,PRFID2
Board,SHT_MFC_EGG_U702ST9_18_,2800,250,4,N,BFS-NR-412982,21658,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,500,1,N,BFS-NR-412982,21658,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,680,1,N,BFS-NR-412982,21658,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,750,6,N,BFS-NR-412982,21658,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,65,1,N,BFS-NR-412982,21658,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U702ST9_18_,2800,1000,3,N,BFS-NR-412982,21658,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
